specimen.ID,species,caste,investigator,wing,scale,LM,x,y,scale 1,body,notes
,,,,,,3,1469.667,1628,,,
,,,,,,4,1323,1626.667,,,
,,,,,,5,1087,1622.667,,,
,,,,,,6,1055,1676,,,
FJ190822-004,bimac,M,JL,hindwing,204.401,1,1519,361.333,,,
,,,,,,2,1752.333,474.667,,,
,,,,,,3,1731,505.333,,,
,,,,,,4,1537.667,520,,,
,,,,,,5,1280.333,528,,,
,,,,,,6,1229.667,601.333,,,
FJ190822-006,bimac,M,JL,hindwing,141.016,1,1350,635,,,
,,,,,,2,1520,738,,,
,,,,,,3,1499,759,,,
,,,,,,4,1350,749,,,
,,,,,,5,1163,738,,,
,,,,,,6,1122,784,,,
FJ190822-007,bimac,M,JL,hindwing,142.016,1,1761,585,,,
,,,,,,2,1929,701,,,
,,,,,,3,1913,725,,,
,,,,,,4,1773,713,,,
,,,,,,5,1569,682,,,
,,,,,,6,1516,727,,,
FJ190827-002,bor,W,JL,hindwing,198.844,1,1183,577.333,,,
,,,,,,2,1415,721.333,,,
,,,,,,3,1392.333,756,,,
,,,,,,4,1203,772,,,
,,,,,,5,913.667,762.667,,,
,,,,,,6,855,846.667,,,
J190827-003,vag,W,JL,hindwing,141.319,1,1209,604,,,
,,,,,,2,1383,671,,,
,,,,,,3,1371,690,,,
,,,,,,4,1244,703,,,
,,,,,,5,1051,709,,,
,,,,,,6,1022,755,,,
FJ190827-004,vag,W,JL,hindwing,142.41,1,1425,734,,,
,,,,,,2,1577,829,,,
,,,,,,3,1565,849,,,
,,,,,,4,1439,846,,,
,,,,,,5,1251,817,,,
,,,,,,6,1225,860,,,
FJ190827-005,bimac,M,JL,hindwing,201.66,1,1708.667,516.333,,,
,,,,,,2,1931.333,675,,,
,,,,,,3,1904.667,707,,,
,,,,,,4,1707.333,680.333,,,
,,,,,,5,1426,635,,,
,,,,,,6,1363.333,701.667,,,
FJ190827-007,bor,W,JL,hindwing,142.235,1,1560.667,391,,,
,,,,,,2,1714,509.667,,,
,,,,,,3,1704.667,527,,,
,,,,,,4,1552.667,524.333,,,
,,,,,,5,1364.667,499,,,
,,,,,,6,1314,555,,,
FJ190827-008,imp,W,JL,hindwing,142.692,1,1577,585.333,,,
,,,,,,2,1723.667,677.333,,,
,,,,,,3,1707.667,694.667,,,
,,,,,,4,1590.333,686.667,,,
,,,,,,5,1402.333,669.333,,,
,,,,,,6,1369,713.333,,,
FJ190827-009,ferv,W,JL,hindwing,205.372,1,1770,321.333,,,
,,,,,,2,1974,488,,,
,,,,,,3,1951.333,516,,,
,,,,,,4,1768.667,506.667,,,
,,,,,,5,1499.333,454.667,,,
,,,,,,6,1420.667,516,,,
FJ190827-010,bimac,W,JL,hindwing,202.815,1,1609.667,454,,,
,,,,,,2,1832.333,552.667,,,
,,,,,,3,1820.333,578,,,
,,,,,,4,1652.333,599.333,,,
,,,,,,5,1408.333,611.333,,,
,,,,,,6,1360.333,670,,,
FJ190827-011,vag,W,JL,hindwing,202.364,1,1638,256,,,
,,,,,,2,1858,401.333,,,
,,,,,,3,1842,424,,,
,,,,,,4,1655.333,409.333,,,
,,,,,,5,1388.667,369.333,,,
,,,,,,6,1342,432,,,
FJ190827-012,san,WQ,JL,hindwing,201.508,1,840,613.667,,,
,,,,,,2,1141.333,692.333,,,
,,,,,,3,1136,735,,,
,,,,,,4,900,800.333,,,
,,,,,,5,594.667,873.667,,,
,,,,,,6,544,971,,,
FJ190827-013,bimac,W,JL,hindwing,142.206,1,1613,268,,,
,,,,,,2,1799,347,,,
,,,,,,3,1789,367,,,
,,,,,,4,1639,386,,,
,,,,,,5,1469,396,,,
,,,,,,6,1431,449,,,
FJ190827-014,imp,W,JL,hindwing,202.241,1,1585.333,252,,,
,,,,,,2,1796,340,,,
,,,,,,3,1785.333,366.667,,,
,,,,,,4,1642.667,385.333,,,
,,,,,,5,1360,400,,,
,,,,,,6,1328,452,,,
FJ190827-015,imp,W,JL,hindwing,206.212,1,1616,294,,,
,,,,,,2,1817.333,427.333,,,
,,,,,,3,1796,451.333,,,
,,,,,,4,1629.333,435.333,,,
,,,,,,5,1374.667,402,,,
,,,,,,6,1328,455.333,,,
FJ190827-016,imp,W,JL,hindwing,200.955,1,1857.333,1364,,,
,,,,,,2,2061.333,1462.667,,,
,,,,,,3,2046.667,1489.333,,,
,,,,,,4,1890.667,1498.667,,,
,,,,,,5,1638.667,1504,,,
,,,,,,6,1605.333,1552,,,
FJ190827-017,ferv,W,JL,hindwing,140.91,1,1710,595,,,
,,,,,,2,1868.667,675,,,
,,,,,,3,1860.667,695,,,
,,,,,,4,1743.333,713.667,,,
,,,,,,5,1544.667,713.667,,,
,,,,,,6,1512.667,763,,,
FJ190827-017a,tern,W,JL,hindwing,204.459,1,1540,335,,,
,,,,,,2,1737,442,,,
,,,,,,3,1721,468,,,
,,,,,,4,1559,475,,,
,,,,,,5,1335,468,,,
,,,,,,6,1291,531,,,
FJ190827-018,tern,W,JL,hindwing,202.803,1,1693,560,,,
,,,,,,2,1876,687,,,
,,,,,,3,1863,706,,,
